repository_name,payload_commit_msg
bootstrap,Delete License
bootstrap,Rename LICENSE.md to LICENSE
bootstrap,Create License
bootstrap,"Add gulp-license, gulp-livereload, gulp-logger and gulp-watch"
bootstrap,Update LICENSE
bootstrap,Create License
bootstrap,Delete LICENSE
bootstrap,Update LICENSE
bootstrap,Create LICENSE.md
bootstrap,Delete LICENSE
bootstrap,Delete LICENSE
bootstrap,Delete LICENSE
bootstrap,Delete LICENSE
bootstrap,Delete LICENSE
bootstrap,Delete LICENSE
bootstrap,Delete LICENSE
bootstrap,Add MIT license
bootstrap,Update: LICENSE: fix company name
bootstrap,Delete LICENSE
bootstrap,Delete LICENSE
bootstrap,Updated license date Updated license date to 2015 for new year.
bootstrap,Adding MIT-zero license
bootstrap,[rm license and add abc]
bootstrap,add LICENSE
bootstrap,Merge pull request #11046 from ZDroid/patch-3 Nicer docs license name
bootstrap,Add license and fix whitespaces
bootstrap,Change license from Apache to MIT
