repository_name,payload_commit_msg
jquery,Build: Update license Closes gh-1587
jquery,Updated license date Updated license date to 2015 for new year.
jquery,Update LICENSE
jquery,"Fix #11905, correct package.json license URLs, closes gh-826."
jquery,Build: Update license
jquery,"Bower: add main property, move Sizzle to devDependencies, add license property Fixes #14798 Close gh-1516 Ref gh-1338 Conflicts: bower.json"
jquery,Unignore license in bower. Ignore other unnecessary files.
jquery,Create license.txt
jquery,Changing the license urls from github to opensource.org
jquery,Merge pull request #2 from component-bot/master add .license property
jquery,Correct version in package to reflect that this is a branch of 1.9.1. Alter readme.md to contain closure-compiler specific information. Modify the build tasks to preserve the license block.
jquery,"Fix #11905, correct package.json license URLs, closes gh-826."
jquery,Add LICENSE file
jquery,Add LICENSE file
jquery,Unignore license in bower. Ignore other unnecessary files.
jquery,Changing the license urls from github to opensource.org
jquery,Correct JSHint error and remove blank lines from closure-compiler target license
jquery,Build: update Sizzle to 1.11.1 and include license
jquery,Build: Update license Closes gh-1587
jquery,Build: Update license
jquery,up to 1.8.1; license change to MIT only https://trisquel.info/es/forum/jquery-18-released-interesting-license-change
jquery,Build: update Sizzle to 1.11.1 and include license
jquery,Build: update Sizzle to 1.11.1 and include license
jquery,Update to use just the MIT license; copiers can still use GPL.
jquery,"Finish the license changes, including Sizzle."
jquery,"Fix #11905, correct package.json license URLs, closes gh-826."
jquery,Unignore license in bower. Ignore other unnecessary files.
jquery,Correct JSHint error and remove blank lines from closure-compiler target license
jquery,Unignore license in bower. Ignore other unnecessary files.
jquery,add license
jquery,"Bower: add main property, move Sizzle to devDependencies, add license property Fixes #14798 Close gh-1516 Ref gh-1338"
jquery,"Fix #11905, correct package.json license URLs, closes gh-826."
jquery,add license
jquery,Build: Update copyright range Updating the copyright year to be a range. :-) Otherwise the license wouldn't explicitly cover the older versions of jQuery.
jquery,Fixed bug in LICENSE
jquery,Correct JSHint error and remove blank lines from closure-compiler target license
jquery,"Fix #11905, correct package.json license URLs, closes gh-826."
jquery,add license
jquery,Update MIT-LICENSE.txt
jquery,Update to use just the MIT license; copiers can still use GPL.
jquery,Create mit-license.txt
